carat,cut,color,clarity,depth,table,price,x,y,z
1.59,Ideal,J,VS1,61.3,57.0,9494,7.5,7.55,4.61
1.02,Very Good,F,VVS2,63.7,59.0,9728,6.34,6.38,4.05
1.57,Ideal,J,VVS2,61.4,57.0,9346,7.45,7.5,4.59
1.0,Good,G,SI1,59.9,58.0,6437,6.44,6.48,3.87
1.0,Good,D,VVS2,60.2,62.0,8374,6.42,6.46,3.88
1.2,Ideal,H,VS1,62.5,57.0,6814,6.81,6.73,4.23
1.2,Ideal,H,VVS1,60.2,57.0,9604,6.87,6.94,4.15
1.2,Ideal,G,VS1,62.4,57.1,8698,6.72,6.79,4.23
1.05,Premium,F,VS2,62.6,58.0,7025,6.47,6.5,4.06
1.63,Ideal,H,SI2,62.4,57.0,7923,7.59,7.52,4.71
1.51,Very Good,E,SI1,61.8,57.0,9474,7.36,7.43,4.57
1.03,Ideal,F,VVS2,62.4,55.6,9290,6.44,6.49,4.02
1.5,Very Good,J,VS2,60.5,63.0,7177,7.27,7.32,4.41
1.6,Premium,E,SI1,61.2,58.0,9229,7.59,7.5,4.62
1.06,Premium,D,VS2,62.3,59.0,7679,6.52,6.48,4.05
1.56,Very Good,J,SI2,61.4,58.0,6662,7.4,7.45,4.56
1.27,Ideal,G,VS2,62.0,58.0,8915,6.89,6.95,4.29
1.22,Premium,G,VS1,61.3,58.0,8779,6.91,6.89,4.23
1.15,Premium,G,VVS1,60.8,58.0,8863,6.74,6.77,4.11
1.52,Premium,J,VS1,62.2,59.0,8426,7.32,7.38,4.57
1.09,Ideal,E,SI2,62.7,55.9,6852,6.52,6.58,4.11
1.02,Ideal,G,VVS2,62.1,57.0,8401,6.43,6.45,4.0
1.47,Very Good,J,VVS2,62.6,60.0,8055,7.17,7.24,4.51
1.42,Ideal,J,VS2,61.7,56.0,7942,7.22,7.27,4.47
1.53,Premium,E,SI2,58.9,59.0,8996,7.63,7.55,4.47
1.08,Premium,D,VS2,61.2,60.0,7824,6.63,6.61,4.05
1.22,Very Good,H,SI1,62.4,57.0,6323,6.78,6.82,4.24
1.08,Ideal,E,VS2,62.0,54.0,7548,6.62,6.57,4.09
1.13,Very Good,G,VS1,60.7,57.0,7815,6.68,6.72,4.07
1.14,Very Good,D,SI1,62.7,59.0,6464,6.64,6.67,4.17
1.2,Premium,H,VS1,58.5,61.0,6720,6.98,6.93,4.07
1.04,Premium,D,VS1,60.5,59.0,8532,6.62,6.58,3.99
1.51,Good,J,VS1,61.5,59.0,8271,7.26,7.31,4.48
1.0,Premium,G,VS2,60.6,59.0,6451,6.42,6.36,3.87
1.3,Premium,J,VVS2,62.9,60.0,6405,6.91,6.86,4.33
1.6,Premium,H,SI1,62.1,60.0,9017,7.54,7.49,4.66
1.31,Premium,J,VS2,62.0,59.0,6822,7.04,6.97,4.34
1.59,Premium,J,SI1,62.5,60.0,7836,7.46,7.42,4.65
1.21,Ideal,H,VS2,62.6,55.0,7562,6.84,6.78,4.26
1.59,Very Good,J,VS2,62.9,58.1,8526,7.39,7.45,4.66
1.5,Ideal,G,SI2,61.4,56.0,8736,7.38,7.34,4.52
1.34,Ideal,F,SI1,61.7,55.0,7893,7.07,7.13,4.38
1.02,Very Good,E,SI1,62.7,60.0,6397,6.45,6.4,4.03
1.5,Very Good,E,SI2,62.7,59.0,8167,7.22,7.3,4.55
1.01,Ideal,F,VVS2,61.6,56.0,8971,6.43,6.49,3.98
1.04,Very Good,D,VS2,63.1,54.0,7679,6.44,6.53,4.09
1.54,Premium,G,SI1,63.0,59.0,8176,7.31,7.26,4.59
1.5,Ideal,G,SI2,63.0,57.0,6720,7.31,7.2,4.57
1.02,Premium,G,VS1,62.0,56.0,6683,6.5,6.43,4.01
1.3,Premium,H,VS1,61.5,58.0,7714,6.96,6.98,4.29
1.21,Ideal,E,SI1,61.8,56.0,8863,6.82,6.86,4.23
1.17,Ideal,G,VVS2,61.7,55.0,9110,6.77,6.74,4.17
1.52,Ideal,I,SI2,61.3,60.0,7582,7.33,7.39,4.51
1.51,Ideal,G,SI2,60.8,57.0,8794,7.44,7.39,4.51
1.35,Premium,H,VS2,61.5,58.0,7918,7.09,7.15,4.38
1.01,Good,D,VS1,63.1,59.0,7955,6.34,6.37,4.01
1.24,Premium,D,SI1,59.3,60.0,6319,7.05,7.01,4.16
1.57,Very Good,D,SI2,62.9,61.0,9698,7.37,7.41,4.65
1.0,Premium,G,VVS1,62.1,59.0,8008,6.29,6.4,3.94
1.02,Premium,F,VVS2,60.9,59.0,8616,6.44,6.56,3.96
1.04,Premium,G,VS2,61.8,58.0,6709,6.51,6.46,4.01
1.29,Premium,I,VS1,63.0,57.0,6877,6.99,6.89,4.37
1.29,Ideal,G,VS2,62.5,57.0,8582,6.89,6.92,4.35
1.17,Ideal,H,VS2,60.3,61.0,6324,6.84,6.8,4.11
1.19,Very Good,G,VS1,59.1,58.0,7989,6.96,7.05,4.14
1.08,Premium,G,VS2,59.4,59.0,6532,6.75,6.68,3.99
1.43,Ideal,G,SI1,62.8,57.0,8599,7.17,7.12,4.49
1.51,Fair,D,SI1,64.1,60.0,9293,7.18,7.11,4.58
1.75,Ideal,H,I1,61.5,55.0,7409,7.78,7.75,4.78
1.23,Ideal,H,IF,61.3,57.0,8585,6.92,6.87,4.23
1.16,Ideal,G,VVS1,60.5,57.0,9075,6.78,6.83,4.12
1.07,Ideal,G,VS1,62.1,57.0,7858,6.48,6.57,4.05
1.22,Premium,G,VS2,61.8,58.0,8362,6.91,6.84,4.25
1.0,Premium,E,VS1,61.9,60.0,7392,6.44,6.41,3.98
1.03,Premium,E,VS1,61.5,58.0,7614,6.55,6.43,3.99
1.05,Ideal,F,VS2,62.7,56.0,6403,6.52,6.59,4.11
1.51,Fair,H,VS2,64.9,53.0,7534,7.28,7.24,4.71
1.18,Ideal,G,VS2,60.9,56.0,7439,6.8,6.85,4.16
1.51,Good,F,VS2,64.0,59.0,8794,7.16,7.08,4.56
0.92,Very Good,D,VS1,61.9,58.0,7544,6.19,6.24,3.85
1.01,Good,D,VVS2,63.5,57.0,8943,6.32,6.35,4.02
1.05,Ideal,G,VVS1,60.1,57.0,8623,6.58,6.63,3.97
1.2,Ideal,G,VS2,62.8,57.0,7243,6.78,6.72,4.24
1.23,Very Good,G,VVS2,62.0,58.0,9803,6.77,6.82,4.21
1.31,Ideal,I,VS1,62.1,56.0,6617,7.01,7.04,4.36
1.22,Ideal,G,VS1,62.2,56.0,9292,6.88,6.85,4.27
1.2,Ideal,E,SI2,62.0,57.0,7018,6.8,6.82,4.22
0.9,Very Good,D,IF,62.4,54.0,9182,6.17,6.21,3.86
1.01,Premium,F,VS2,62.2,60.0,6533,6.4,6.37,3.97
1.0,Ideal,E,VS2,61.6,57.0,6720,6.44,6.38,3.95
1.52,Good,D,SI2,63.2,58.0,8868,7.25,7.31,4.6
1.57,Premium,J,VS2,59.9,57.0,6629,7.56,7.52,4.52
1.02,Premium,G,IF,61.8,59.0,8489,6.41,6.46,3.98
2.31,Fair,G,I1,67.4,56.0,7257,8.05,7.99,5.41
1.45,Very Good,J,VS2,62.6,58.0,6980,7.28,7.16,4.52
1.0,Premium,D,VS2,59.6,60.0,6868,6.57,6.52,3.9
1.59,Ideal,J,SI1,62.4,55.0,8176,7.45,7.48,4.66
1.01,Very Good,E,VS1,60.9,55.0,7094,6.48,6.58,3.98
1.05,Ideal,G,VS2,62.8,57.0,6604,6.49,6.45,4.06
1.03,Very Good,G,VS2,58.8,63.0,6806,6.7,6.61,3.91
1.74,Ideal,I,SI2,61.6,57.0,8896,7.67,7.74,4.75
1.27,Ideal,H,SI1,61.5,55.0,6472,6.97,6.95,4.28
1.53,Premium,G,SI2,58.5,59.0,6788,7.52,7.49,4.39
1.53,Premium,G,SI2,61.3,59.0,8799,7.49,7.43,4.57
1.78,Good,G,SI2,63.8,57.0,9071,7.73,7.62,4.9
1.06,Ideal,E,VS1,62.1,57.0,8413,6.49,6.52,4.04
1.26,Very Good,G,SI1,61.7,60.0,6733,6.85,6.9,4.24
1.28,Premium,I,VS2,61.7,60.0,6762,7.05,6.95,4.32
1.24,Very Good,H,SI1,60.8,60.0,7050,6.9,6.94,4.21
1.21,Ideal,H,VS2,62.9,55.0,7562,6.8,6.75,4.26
1.52,Premium,J,VS1,62.4,59.0,8110,7.31,7.36,4.58
1.51,Very Good,I,VS1,61.8,63.0,9467,7.28,7.34,4.52
1.17,Ideal,G,VVS1,61.9,56.0,9799,6.73,6.78,4.18
1.01,Ideal,F,VS1,61.3,57.0,7602,6.47,6.44,3.96
1.3,Very Good,I,VS2,61.8,56.0,7087,6.98,7.04,4.33
1.57,Ideal,J,VS2,62.3,54.0,8363,7.5,7.49,4.67
1.01,Premium,G,VVS2,61.9,60.0,6470,6.45,6.41,3.98
1.01,Very Good,G,VVS2,63.0,59.0,7234,6.25,6.38,3.98
1.2,Good,G,VS2,63.3,58.0,7603,6.66,6.74,4.24
1.2,Good,E,SI1,64.0,61.0,6969,6.61,6.67,4.25
1.01,Very Good,G,VVS2,63.0,59.0,6843,6.34,6.41,4.01
1.51,Very Good,I,VS2,63.0,60.0,8952,7.25,7.3,4.58
1.0,Good,E,VS1,60.0,65.0,7190,6.48,6.43,3.87
0.96,Ideal,G,VS1,61.1,56.0,6807,6.34,6.39,3.89
1.21,Premium,G,VS1,62.7,58.0,8774,6.85,6.76,4.27
1.2,Good,D,VS2,62.4,60.0,8521,6.69,6.77,4.2
1.1,Ideal,G,VS1,61.3,57.0,7550,6.59,6.66,4.06
1.01,Very Good,D,VS2,62.2,61.0,6905,6.37,6.43,3.98
1.04,Ideal,G,VS1,61.2,58.0,7375,6.5,6.53,3.99
1.24,Ideal,H,VS1,62.6,54.0,7222,6.88,6.84,4.29
1.13,Ideal,E,SI1,62.2,55.0,6682,6.69,6.66,4.15
1.51,Good,I,SI1,63.7,61.0,8097,7.11,7.15,4.54
1.61,Premium,H,SI2,60.3,60.0,9167,7.66,7.57,4.59
1.12,Ideal,H,VVS2,62.3,53.0,7091,6.64,6.7,4.16
1.18,Premium,G,VVS2,58.2,62.0,9188,6.92,6.89,4.02
1.01,Very Good,H,VVS1,60.6,56.0,6733,6.5,6.53,3.95
1.02,Very Good,E,VS2,60.6,61.0,6366,6.44,6.47,3.91
1.24,Ideal,G,VS1,61.9,54.0,8584,6.89,6.92,4.27
1.08,Ideal,H,VS1,62.0,55.0,6562,6.56,6.6,4.08
1.07,Ideal,G,VS2,62.2,57.0,6355,6.53,6.55,4.07
1.52,Premium,I,VS2,62.6,59.0,9108,7.34,7.19,4.55
1.06,Very Good,G,VS1,62.0,58.0,7003,6.51,6.56,4.05
2.01,Fair,F,I1,58.7,66.0,7294,8.3,8.19,4.84
2.02,Premium,J,SI2,63.0,58.0,8640,8.07,8.02,5.07
1.25,Ideal,F,VS2,62.8,57.0,8764,6.87,6.85,4.31
1.32,Ideal,F,VS2,62.3,57.0,7983,7.06,6.97,4.37
1.05,Ideal,G,VVS1,60.7,55.0,8946,6.6,6.65,4.02
1.01,Very Good,D,VS2,62.9,58.0,6738,6.35,6.41,4.01
1.27,Very Good,H,VS1,60.7,54.0,8235,7.01,7.05,4.27
1.51,Good,J,VS2,64.0,58.0,7062,7.27,7.24,4.64
1.65,Ideal,E,SI2,58.7,56.0,8455,7.76,7.73,4.55
1.36,Good,F,SI1,57.5,60.0,7197,7.36,7.31,4.22
1.11,Premium,G,VS2,59.0,59.0,6713,6.79,6.76,4.0
1.32,Ideal,G,SI1,62.1,57.0,8231,7.02,7.05,4.37
1.26,Very Good,G,SI1,63.2,61.0,7000,6.87,6.81,4.32
1.01,Good,G,VS1,63.2,58.0,6499,6.34,6.38,4.02
1.12,Good,F,VS2,63.8,57.0,7051,6.61,6.59,4.21
1.13,Premium,D,VS2,61.7,58.0,7751,6.7,6.65,4.12
1.2,Ideal,G,VS1,62.0,57.0,8701,6.81,6.78,4.21
1.02,Ideal,F,VS2,62.3,56.0,7175,6.39,6.54,4.0
1.52,Ideal,I,VS2,62.1,59.0,9465,7.3,7.35,4.55
1.07,Ideal,G,VVS2,62.4,55.6,8235,6.48,6.55,4.07
1.21,Premium,G,VVS1,60.1,61.0,9003,6.92,6.85,4.14
1.02,Ideal,F,VS1,62.6,54.0,8157,6.45,6.41,4.02
1.52,Good,I,SI1,64.0,58.0,9129,7.2,7.27,4.63
1.23,Premium,H,VS2,62.9,57.0,7089,6.84,6.77,4.28
1.2,Ideal,H,SI1,61.9,54.0,6588,6.83,6.9,4.25
1.52,Premium,D,SI2,60.2,60.0,8737,7.4,7.46,4.47
1.0,Premium,F,VS1,62.6,58.0,7114,6.37,6.4,4.0
1.3,Premium,G,VS2,60.9,60.0,9216,7.04,6.99,4.27
1.06,Ideal,E,VS2,61.8,55.0,7788,6.59,6.51,4.05
1.5,Good,H,VS1,64.3,57.0,8736,7.12,7.0,4.54
1.51,Premium,J,VS1,61.4,57.0,8204,7.38,7.3,4.51
1.04,Very Good,F,VS2,61.0,60.0,6361,6.54,6.48,3.97
1.1,Premium,F,VS2,60.5,57.0,9486,6.7,6.69,4.05
1.53,Ideal,I,SI1,62.3,56.0,9315,7.37,7.4,4.6
1.02,Ideal,G,VS1,62.1,58.0,6857,6.4,6.45,3.99
1.0,Ideal,E,VS2,62.5,57.0,7177,6.38,6.45,4.01
1.24,Premium,H,VS1,61.2,59.0,7493,6.94,6.91,4.24
1.01,Ideal,E,VS2,61.9,57.0,7013,6.43,6.37,3.96
1.01,Premium,E,VS2,58.1,60.0,6516,6.58,6.51,3.8
1.13,Very Good,F,VVS2,59.6,59.0,9539,6.82,6.87,4.08
1.23,Ideal,I,VS1,61.5,56.0,6435,6.86,6.89,4.23
1.0,Premium,G,VS1,61.2,58.0,6462,6.49,6.38,3.94
1.23,Premium,E,VS2,58.9,59.0,9361,7.05,6.98,4.13
1.0,Very Good,F,IF,63.9,56.0,9248,6.31,6.34,4.04
1.54,Ideal,H,SI1,61.1,56.0,9391,7.47,7.42,4.56
1.01,Premium,F,VS2,61.6,59.0,6587,6.39,6.43,3.95
1.01,Very Good,G,VVS2,63.2,59.0,7665,6.38,6.34,4.02
1.73,Premium,F,SI2,61.5,60.0,9494,7.75,7.66,4.74
1.61,Ideal,H,SI1,62.3,56.0,9341,7.51,7.47,4.67
1.2,Ideal,H,SI1,62.1,56.0,6518,6.83,6.76,4.22
1.2,Ideal,D,SI1,61.8,58.0,7508,6.76,6.83,4.2
1.12,Premium,G,VS1,62.2,59.0,7827,6.61,6.58,4.1
1.22,Premium,E,SI1,62.6,58.0,7262,6.78,6.8,4.25
1.77,Premium,J,VS2,59.6,58.0,9428,7.94,7.86,4.71
1.28,Premium,G,VS2,61.6,58.0,8874,7.02,6.98,4.31
1.15,Ideal,D,VS2,58.5,57.0,8114,6.96,6.93,4.06
1.0,Premium,F,VS2,59.0,59.0,7072,6.54,6.51,3.85
1.5,Very Good,I,SI2,60.8,58.0,7392,7.24,7.34,4.43
1.37,Ideal,I,VS2,61.6,55.0,8000,7.13,7.16,4.4
1.55,Ideal,I,VS2,62.6,56.0,9233,7.41,7.35,4.62
1.5,Premium,F,SI2,63.0,59.0,8232,7.24,7.2,4.55
1.71,Premium,J,SI1,61.9,58.0,7757,7.62,7.56,4.7
2.01,Very Good,I,SI2,61.4,63.0,9781,8.19,7.96,4.96
1.5,Good,E,SI2,64.5,58.0,8492,7.06,7.11,4.57
1.47,Premium,I,SI2,62.4,55.0,6742,7.34,7.24,4.55
1.04,Ideal,G,VS1,61.7,56.0,7951,6.47,6.52,4.01
1.09,Ideal,G,VVS2,60.6,57.0,8364,6.62,6.7,4.05
1.24,Premium,H,VS1,62.2,59.0,7092,6.83,6.9,4.27
1.05,Premium,E,VS2,62.1,58.0,7056,6.54,6.5,4.05
1.23,Premium,G,VS1,59.8,57.0,9574,6.99,6.96,4.17
1.03,Ideal,G,VVS1,62.4,57.0,8454,6.39,6.47,4.01
1.41,Premium,F,SI2,62.7,56.0,7817,7.21,7.15,4.5
2.15,Premium,H,I1,62.9,57.0,6357,8.25,8.2,5.18
1.21,Ideal,G,VS1,62.0,55.0,9287,6.84,6.88,4.25
1.2,Very Good,G,SI1,63.5,56.0,6666,6.77,6.7,4.28
1.09,Very Good,G,VVS2,59.8,61.0,7583,6.64,6.7,3.99
1.53,Very Good,J,VS2,62.9,59.0,7418,7.31,7.34,4.61
1.7,Premium,G,SI2,62.2,59.0,7414,7.68,7.6,4.75
1.11,Ideal,F,VS2,61.7,55.0,7473,6.65,6.67,4.11
1.1,Ideal,H,VS2,62.7,56.0,6344,6.58,6.63,4.14
1.51,Very Good,I,SI1,61.6,58.0,9283,7.35,7.3,4.51
1.54,Very Good,J,VS1,63.5,57.0,9285,7.27,7.37,4.65
1.09,Very Good,G,VS1,62.5,59.0,6546,6.56,6.59,4.11
1.1,Premium,G,VS2,60.2,58.0,6534,6.71,6.75,4.05
1.36,Premium,I,VS2,61.9,56.0,7104,7.17,7.08,4.41
1.54,Ideal,J,VS1,62.0,53.0,8207,7.41,7.49,4.62
1.01,Premium,G,VVS2,62.0,56.0,6670,6.49,6.41,4.0
1.01,Very Good,G,VVS2,63.3,57.0,7885,6.31,6.36,4.01
1.09,Premium,F,VS1,60.9,58.0,8057,6.63,6.67,4.05
1.36,Premium,E,SI2,61.7,59.0,7421,7.2,7.09,4.41
1.51,Good,I,SI1,63.9,63.0,7233,7.17,7.2,4.59
1.0,Good,E,VS1,60.6,63.0,6822,6.28,6.42,3.85
1.62,Premium,H,SI2,63.0,58.0,6350,7.47,7.41,4.69
1.5,Premium,J,VVS2,61.8,60.0,8603,7.33,7.36,4.54
1.3,Ideal,H,SI2,61.1,57.0,6552,7.09,7.04,4.32
1.08,Ideal,F,VS2,61.9,55.0,7629,6.58,6.61,4.09
1.01,Ideal,G,VVS2,61.6,54.0,8662,6.51,6.55,4.02
1.2,Ideal,H,SI1,62.7,55.0,6512,6.76,6.73,4.23
1.33,Premium,E,SI2,62.5,58.0,6963,6.99,7.03,4.38
1.37,Premium,H,VS2,62.5,59.0,8562,7.12,7.05,4.43
1.11,Ideal,G,VVS2,61.8,57.0,8858,6.67,6.64,4.11
1.24,Ideal,G,VVS2,61.2,56.0,9362,6.88,6.92,4.22
2.0,Fair,F,I1,66.1,57.0,6532,7.84,7.7,5.14
1.07,Ideal,G,VS2,61.9,55.0,7275,6.55,6.57,4.06
1.5,Fair,H,SI2,65.5,53.0,7187,7.14,7.11,4.67
1.28,Premium,D,SI2,61.2,58.0,6936,7.09,6.96,4.3
1.26,Ideal,H,SI2,61.8,54.0,6597,6.95,6.99,4.31
1.52,Good,J,SI1,63.6,60.0,7022,7.25,7.21,4.6
1.2,Ideal,G,VVS1,62.8,56.0,9784,6.75,6.73,4.23
1.03,Ideal,F,VVS2,62.0,56.0,9245,6.45,6.48,4.01
1.2,Very Good,D,SI1,62.4,58.0,7646,6.75,6.78,4.23
1.06,Ideal,G,VVS2,61.4,56.0,9645,6.56,6.62,4.04
1.31,Premium,I,VS2,62.4,61.0,6921,6.98,6.9,4.33
1.0,Fair,D,VS1,55.9,60.0,7083,6.77,6.71,4.38
2.1,Fair,G,I1,64.6,58.0,6597,8.05,8.01,5.19
1.35,Very Good,G,VS1,60.1,56.0,9729,7.16,7.21,4.32
1.07,Very Good,G,VS2,63.0,55.0,6355,6.5,6.55,4.11
1.08,Ideal,E,VS1,61.6,57.0,8674,6.58,6.61,4.06
1.26,Premium,F,SI1,62.3,58.0,6915,6.89,6.84,4.28
1.01,Very Good,F,VS1,59.4,58.0,6439,6.46,6.54,3.86
1.18,Premium,G,VS2,62.3,62.0,7137,6.72,6.69,4.18
1.11,Ideal,G,VS1,61.4,57.0,8112,6.68,6.65,4.09
1.3,Ideal,I,VS1,62.1,57.0,6931,7.04,6.98,4.35
1.12,Good,G,IF,59.6,56.0,8973,6.8,6.85,4.07
1.13,Premium,G,VVS2,61.4,58.0,7875,6.68,6.73,4.12
1.0,Ideal,G,VS1,62.2,56.0,6465,6.41,6.35,3.97
1.5,Ideal,H,VVS2,61.3,56.0,8224,7.37,7.28,4.49
1.05,Ideal,G,VVS2,62.5,55.0,8645,6.49,6.53,4.07
0.9,Ideal,D,VVS1,62.0,56.0,8979,6.16,6.19,3.83
1.52,Ideal,I,SI2,62.5,58.0,7990,7.29,7.33,4.57
1.7,Premium,I,VS2,61.3,59.0,9330,7.69,7.59,4.68
1.52,Very Good,J,VS2,63.1,61.0,7109,7.23,7.19,4.55
1.04,Premium,F,VS1,59.4,60.0,7632,6.58,6.56,3.9
0.91,Premium,E,VVS2,61.1,61.0,7006,6.24,6.2,3.8
1.58,Very Good,G,SI2,60.0,53.0,9037,7.59,7.64,4.57
1.03,Good,F,VS2,63.9,59.0,6662,6.38,6.35,4.07
1.01,Ideal,G,VS1,62.0,57.0,6504,6.44,6.36,3.97
1.7,Premium,I,SI1,61.6,56.0,8044,7.65,7.55,4.68
1.2,Premium,E,SI2,62.6,56.0,6397,6.84,6.77,4.26
1.45,Very Good,J,VS2,62.8,57.0,6671,7.14,7.17,4.49
1.23,Premium,F,VS1,61.3,60.0,9489,6.94,6.9,4.24
1.5,Premium,I,SI2,62.2,61.0,7056,7.24,7.19,4.49
1.51,Good,I,VVS2,63.6,58.0,7255,7.29,7.26,4.63
1.14,Premium,G,VS2,60.9,57.0,7079,6.79,6.73,4.12
1.23,Ideal,G,VS1,61.4,56.0,9133,6.96,6.91,4.26
1.01,Good,E,VS2,58.9,62.0,6517,6.55,6.63,3.88
1.23,Premium,D,SI2,62.3,58.0,6833,6.81,6.78,4.23
1.3,Very Good,H,VS2,62.5,59.0,7092,6.93,6.96,4.34
1.16,Ideal,G,VS2,62.3,57.0,7074,6.66,6.72,4.17
1.53,Very Good,J,VS1,59.5,60.0,7677,7.55,7.65,4.52
1.5,Good,J,VS2,61.7,56.0,7177,7.23,7.33,4.49
1.01,Good,E,VS1,63.4,58.0,7234,6.36,6.38,4.04
1.78,Premium,J,SI2,62.6,58.0,8889,7.78,7.72,4.85
1.21,Ideal,E,SI1,61.9,57.0,7424,6.88,6.79,4.23
1.04,Very Good,G,VS1,63.1,57.0,6669,6.39,6.44,4.05
1.0,Very Good,E,VVS2,61.6,60.0,9139,6.41,6.45,3.96
1.5,Ideal,I,VS2,62.6,57.0,9586,7.26,7.31,4.56
1.22,Ideal,H,SI2,62.3,57.0,6398,6.84,6.89,4.28
1.5,Premium,F,SI2,61.4,60.0,9374,7.34,7.28,4.49
1.21,Ideal,E,SI1,62.2,54.1,7231,6.82,6.86,4.26
1.54,Premium,I,SI1,60.9,59.0,8258,7.42,7.46,4.53
1.33,Ideal,H,VS2,59.5,57.0,8385,7.18,7.23,4.29
1.5,Premium,J,VS1,62.0,61.0,7832,7.37,7.24,4.53
1.2,Ideal,H,VS1,61.1,58.0,8039,6.84,6.88,4.19
1.07,Very Good,G,VVS2,59.4,57.0,7597,6.74,6.69,3.99
1.01,Very Good,G,IF,60.0,61.0,7974,6.41,6.45,3.86
1.36,Premium,H,VS2,61.9,58.0,8718,7.09,7.15,4.41
1.14,Very Good,F,VS2,59.0,60.0,8131,6.84,6.81,4.03
1.7,Ideal,H,SI2,61.2,56.0,9444,7.71,7.64,4.7
1.2,Very Good,F,VS2,62.4,58.0,8829,6.75,6.81,4.23
1.02,Ideal,G,IF,62.5,57.0,8311,6.44,6.37,4.0
1.14,Ideal,H,VS2,62.0,54.0,6628,6.72,6.74,4.17
1.5,Ideal,G,SI2,62.0,57.0,8580,7.26,7.31,4.52
1.19,Ideal,H,VS1,62.5,54.0,7466,6.78,6.82,4.25
1.52,Premium,J,SI1,61.0,59.0,6367,7.41,7.35,4.5
1.22,Premium,D,VS2,59.4,59.0,9756,6.99,6.92,4.13
1.09,Ideal,G,VVS1,61.0,54.0,9282,6.63,6.72,4.07
2.33,Premium,H,I1,60.7,58.0,8220,8.64,8.56,5.22
1.31,Premium,E,SI1,62.4,58.0,8767,7.03,6.95,4.36
1.12,Ideal,G,VS2,60.9,56.0,8189,6.7,6.74,4.09
1.06,Premium,E,VS2,62.3,58.0,6838,6.52,6.49,4.05
1.28,Ideal,G,SI1,62.2,56.0,7598,6.96,6.9,4.31
1.11,Very Good,G,VS2,62.2,57.0,6953,6.55,6.6,4.09
1.0,Premium,E,VS2,62.9,59.0,6359,6.38,6.27,3.98
1.7,Premium,I,SI2,61.7,56.0,7140,7.66,7.57,4.7
1.75,Premium,I,SI1,60.8,58.0,7644,7.83,7.79,4.75
1.11,Ideal,F,SI1,61.1,57.0,6512,6.67,6.69,4.08
1.24,Ideal,G,VS1,61.5,56.0,8830,6.92,6.97,4.27
1.27,Very Good,I,SI1,63.0,60.0,6654,6.86,6.8,4.3
1.0,Very Good,E,VVS2,61.0,62.0,8638,6.4,6.46,3.92
1.5,Very Good,I,SI1,60.2,63.0,7140,7.38,7.33,4.43
1.04,Premium,E,VS2,61.1,59.0,7175,6.56,6.54,4.0
1.52,Very Good,G,SI2,60.9,57.0,8151,7.44,7.5,4.55
1.6,Ideal,J,VS1,62.1,57.0,8904,7.46,7.54,4.66
1.01,Good,F,VVS1,63.2,56.0,9012,6.33,6.39,4.02
1.42,Good,H,SI2,61.8,61.0,7437,7.01,7.09,4.36
1.12,Ideal,D,SI1,60.5,56.0,7153,6.75,6.78,4.09
1.01,Ideal,E,VS2,62.1,56.0,7355,6.41,6.45,3.99
